frame_index,time_sec,timecode,scene_id
0,0.000,00:00:00.000,scene-01
1,0.033,00:00:00.033,scene-01
2,0.067,00:00:00.067,scene-01
3,0.100,00:00:00.100,scene-01
4,0.133,00:00:00.133,scene-01
5,0.167,00:00:00.167,scene-01
6,0.200,00:00:00.200,scene-01
7,0.233,00:00:00.233,scene-01
8,0.267,00:00:00.267,scene-01
9,0.300,00:00:00.300,scene-01
10,0.333,00:00:00.333,scene-01
11,0.367,00:00:00.367,scene-01
12,0.400,00:00:00.400,scene-01
13,0.433,00:00:00.433,scene-01
14,0.467,00:00:00.467,scene-01
15,0.500,00:00:00.500,scene-01
16,0.533,00:00:00.533,scene-01
17,0.567,00:00:00.567,scene-01
18,0.600,00:00:00.600,scene-01
19,0.633,00:00:00.633,scene-01
20,0.667,00:00:00.667,scene-01
21,0.700,00:00:00.700,scene-01
22,0.733,00:00:00.733,scene-01
23,0.767,00:00:00.767,scene-01
24,0.800,00:00:00.800,scene-01
25,0.833,00:00:00.833,scene-01
26,0.867,00:00:00.867,scene-01
27,0.900,00:00:00.900,scene-01
28,0.933,00:00:00.933,scene-01
29,0.967,00:00:00.967,scene-01
30,1.000,00:00:01.000,scene-01
31,1.033,00:00:01.033,scene-01
32,1.067,00:00:01.067,scene-01
33,1.100,00:00:01.100,scene-01
34,1.133,00:00:01.133,scene-01
35,1.167,00:00:01.167,scene-01
36,1.200,00:00:01.200,scene-01
37,1.233,00:00:01.233,scene-01
38,1.267,00:00:01.267,scene-01
39,1.300,00:00:01.300,scene-01
40,1.333,00:00:01.333,scene-01
41,1.367,00:00:01.367,scene-01
42,1.400,00:00:01.400,scene-01
43,1.433,00:00:01.433,scene-01
44,1.467,00:00:01.467,scene-01
45,1.500,00:00:01.500,scene-01
46,1.533,00:00:01.533,scene-01
47,1.567,00:00:01.567,scene-01
48,1.600,00:00:01.600,scene-01
49,1.633,00:00:01.633,scene-01
50,1.667,00:00:01.667,scene-01
51,1.700,00:00:01.700,scene-01
52,1.733,00:00:01.733,scene-01
53,1.767,00:00:01.767,scene-01
54,1.800,00:00:01.800,scene-01
55,1.833,00:00:01.833,scene-01
56,1.867,00:00:01.867,scene-01
57,1.900,00:00:01.900,scene-01
58,1.933,00:00:01.933,scene-01
59,1.967,00:00:01.967,scene-01
60,2.000,00:00:02.000,scene-01
61,2.033,00:00:02.033,scene-01
62,2.067,00:00:02.067,scene-01
63,2.100,00:00:02.100,scene-01
64,2.133,00:00:02.133,scene-01
65,2.167,00:00:02.167,scene-01
66,2.200,00:00:02.200,scene-01
67,2.233,00:00:02.233,scene-01
68,2.267,00:00:02.267,scene-01
69,2.300,00:00:02.300,scene-01
70,2.333,00:00:02.333,scene-01
71,2.367,00:00:02.367,scene-01
72,2.400,00:00:02.400,scene-02
73,2.433,00:00:02.433,scene-02
74,2.467,00:00:02.467,scene-02
75,2.500,00:00:02.500,scene-02
76,2.533,00:00:02.533,scene-02
77,2.567,00:00:02.567,scene-02
78,2.600,00:00:02.600,scene-02
79,2.633,00:00:02.633,scene-02
80,2.667,00:00:02.667,scene-02
81,2.700,00:00:02.700,scene-02
82,2.733,00:00:02.733,scene-02
83,2.767,00:00:02.767,scene-02
84,2.800,00:00:02.800,scene-02
85,2.833,00:00:02.833,scene-02
86,2.867,00:00:02.867,scene-02
87,2.900,00:00:02.900,scene-02
88,2.933,00:00:02.933,scene-02
89,2.967,00:00:02.967,scene-02
90,3.000,00:00:03.000,scene-02
91,3.033,00:00:03.033,scene-02
92,3.067,00:00:03.067,scene-02
93,3.100,00:00:03.100,scene-02
94,3.133,00:00:03.133,scene-02
95,3.167,00:00:03.167,scene-02
96,3.200,00:00:03.200,scene-02
97,3.233,00:00:03.233,scene-02
98,3.267,00:00:03.267,scene-02
99,3.300,00:00:03.300,scene-02
100,3.333,00:00:03.333,scene-02
101,3.367,00:00:03.367,scene-02
102,3.400,00:00:03.400,scene-02
103,3.433,00:00:03.433,scene-02
104,3.467,00:00:03.467,scene-02
105,3.500,00:00:03.500,scene-02
106,3.533,00:00:03.533,scene-02
107,3.567,00:00:03.567,scene-02
108,3.600,00:00:03.600,scene-02
109,3.633,00:00:03.633,scene-02
110,3.667,00:00:03.667,scene-02
111,3.700,00:00:03.700,scene-02
112,3.733,00:00:03.733,scene-02
113,3.767,00:00:03.767,scene-02
114,3.800,00:00:03.800,scene-02
115,3.833,00:00:03.833,scene-02
116,3.867,00:00:03.867,scene-02
117,3.900,00:00:03.900,scene-02
118,3.933,00:00:03.933,scene-02
119,3.967,00:00:03.967,scene-02
120,4.000,00:00:04.000,scene-02
121,4.033,00:00:04.033,scene-02
122,4.067,00:00:04.067,scene-02
123,4.100,00:00:04.100,scene-02
124,4.133,00:00:04.133,scene-02
125,4.167,00:00:04.167,scene-02
126,4.200,00:00:04.200,scene-02
127,4.233,00:00:04.233,scene-02
128,4.267,00:00:04.267,scene-02
129,4.300,00:00:04.300,scene-02
130,4.333,00:00:04.333,scene-02
131,4.367,00:00:04.367,scene-02
132,4.400,00:00:04.400,scene-02
133,4.433,00:00:04.433,scene-02
134,4.467,00:00:04.467,scene-02
135,4.500,00:00:04.500,scene-02
136,4.533,00:00:04.533,scene-02
137,4.567,00:00:04.567,scene-02
138,4.600,00:00:04.600,scene-03
139,4.633,00:00:04.633,scene-03
140,4.667,00:00:04.667,scene-03
141,4.700,00:00:04.700,scene-03
142,4.733,00:00:04.733,scene-03
143,4.767,00:00:04.767,scene-03
144,4.800,00:00:04.800,scene-03
145,4.833,00:00:04.833,scene-03
146,4.867,00:00:04.867,scene-03
147,4.900,00:00:04.900,scene-03
148,4.933,00:00:04.933,scene-03
149,4.967,00:00:04.967,scene-03
150,5.000,00:00:05.000,scene-03
151,5.033,00:00:05.033,scene-03
152,5.067,00:00:05.067,scene-03
153,5.100,00:00:05.100,scene-03
154,5.133,00:00:05.133,scene-03
155,5.167,00:00:05.167,scene-03
156,5.200,00:00:05.200,scene-03
157,5.233,00:00:05.233,scene-03
158,5.267,00:00:05.267,scene-03
159,5.300,00:00:05.300,scene-03
160,5.333,00:00:05.333,scene-03
161,5.367,00:00:05.367,scene-03
162,5.400,00:00:05.400,scene-03
163,5.433,00:00:05.433,scene-03
164,5.467,00:00:05.467,scene-03
165,5.500,00:00:05.500,scene-03
166,5.533,00:00:05.533,scene-03
167,5.567,00:00:05.567,scene-03
168,5.600,00:00:05.600,scene-03
169,5.633,00:00:05.633,scene-03
170,5.667,00:00:05.667,scene-03
171,5.700,00:00:05.700,scene-03
172,5.733,00:00:05.733,scene-03
173,5.767,00:00:05.767,scene-03
174,5.800,00:00:05.800,scene-03
175,5.833,00:00:05.833,scene-03
