sceneId,startSec,endSec,durationSec,sourcePath
scene-01,0.0,2.042,2.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-01.mp4
scene-02,2.042,4.083,2.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-02.mp4
scene-03,4.083,6.125,2.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-03.mp4
scene-04,6.125,9.167,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-04.mp4
scene-05,9.167,12.208,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-05.mp4
scene-06,12.208,15.25,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-06.mp4
scene-07,15.25,18.292,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-07.mp4
scene-08,18.292,21.333,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-08.mp4
scene-09,21.333,24.375,3.042,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-09.mp4
scene-10,24.375,30.0,5.625,episodes/jjiroo-tancheon-duck-chase-002/renders/picture/scene-10.mp4
